타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉(단위:만원),학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 12:21:46,2학년,남자,창업마케팅과,운동,1시간-2시간,방과후(저녁),3000,O,5,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,좋음,나쁨,X,O
2023. 10. 12 오후 12:21:49,2학년,남자,창업마케팅과,게임,0-30분,기타,2500,O,5,2시간-3시간 이상,10-30분,바로 집에 가요!,집,나쁨,좋음,X,O
2023. 10. 12 오후 12:23:07,3학년,남자,소프트웨어개발과,게임,0-30분,기타,3000,O,7,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,X
2023. 10. 12 오후 12:23:25,3학년,남자,소프트웨어개발과,게임,0-30분,밤,3200,O,5,0-30분,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,X
2023. 10. 12 오후 12:23:28,2학년,남자,창업마케팅과,음악,0-30분,기타,2300,O,5,2시간-3시간 이상,1시간-2시간,18시 이후!,학원 또는 방과후,매우 좋음,매우 좋음,O,X
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,5000,X,5,30-1시간,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 12:23:29,3학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,3000,O,7,1시간-2시간,10-30분,바로 집에 가요!,집,매우 좋음,나쁨,X,X
2023. 10. 12 오후 12:23:32,3학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),3000,O,5,30-1시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 12 오후 12:23:49,2학년,여자,창업마케팅과,게임,0-30분,방과후(저녁),2000,X,2,0-30분,10-30분,18시 이후!,PC방,나쁨,나쁨,X,X
2023. 10. 12 오후 12:24:25,3학년,남자,소프트웨어개발과,게임,30분-1시간,기타,2500,O,6,1시간-2시간,30-1시간,바로 집에 가요!,집,좋음,나쁨,X,X
2023. 10. 12 오후 12:24:47,3학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3500,O,7,2시간-3시간 이상,10-30분,바로 집에 가요!,학원 또는 방과후,매우 나쁨,좋음,X,X
2023. 10. 12 오후 12:25:21,2학년,남자,창업마케팅과,기타,1시간-2시간,방과후(저녁),2800,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,학원 또는 방과후,나쁨,매우 좋음,X,X
2023. 10. 12 오후 12:25:30,3학년,남자,소프트웨어개발과,게임,0-30분,기타,0,X,1,0-30분,10-30분,바로 집에 가요!,집,매우 나쁨,매우 나쁨,X,X
2023. 10. 12 오후 12:25:46,2학년,남자,창업마케팅과,운동,30분-1시간,밤,3000,O,7,1시간-2시간,30-1시간,17시 30분 ~ 18시,집,좋음,매우 좋음,X,X
2023. 10. 12 오후 12:25:59,3학년,남자,소프트웨어개발과,예술,30분-1시간,밤,2400,X,8,30-1시간,30-1시간,바로 집에 가요!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 12:26:05,2학년,여자,창업마케팅과,예술,1시간-2시간,기타,3700,O,4,1시간-2시간,30-1시간,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,O,X
2023. 10. 12 오후 12:27:06,3학년,여자,소프트웨어개발과,음악,0-30분,밤,3500,O,6,2시간-3시간 이상,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 12 오후 12:27:34,3학년,여자,뷰티디자인과,음악,0-30분,방과후(저녁),5000,O,8,2시간-3시간 이상,1시간-2시간,바로 집에 가요!,집,매우 좋음,좋음,X,X
2023. 10. 12 오후 12:27:46,3학년,여자,뷰티디자인과,기타,0-30분,기타,3600,X,5,1시간-2시간,1시간-2시간,바로 집에 가요!,집,나쁨,좋음,X,X
2023. 10. 12 오후 12:27:49,3학년,여자,뷰티디자인과,음악,30분-1시간,방과후(저녁),3000,O,7,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,좋음,매우 나쁨,X,X
2023. 10. 12 오후 12:28:09,2학년,남자,창업마케팅과,기타,0-30분,밤,0,O,7,1시간-2시간,30-1시간,18시 이후!,식당,좋음,나쁨,X,X
2023. 10. 12 오후 12:28:44,2학년,남자,창업마케팅과,음악,30분-1시간,밤,1800,O,5,1시간-2시간,30-1시간,17시 ~ 17시 30분,PC방,좋음,나쁨,X,X
2023. 10. 12 오후 12:28:48,3학년,여자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),2160,O,8,0-30분,10-30분,18시 이후!,학원 또는 방과후,좋음,좋음,X,X
2023. 10. 12 오후 12:28:53,2학년,남자,창업마케팅과,영상시청,0-30분,밤,10000,X,4,2시간-3시간 이상,1시간-2시간,18시 이후!,PC방,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 12:29:20,3학년,여자,뷰티디자인과,음악,30분-1시간,밤,4000,O,7,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,나쁨,좋음,O,X
2023. 10. 12 오후 12:29:25,3학년,여자,뷰티디자인과,영상시청,30분-1시간,밤,2000,O,6,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,X
2023. 10. 12 오후 12:29:44,2학년,남자,창업마케팅과,음악,0-30분,기타,1000,X,5,30-1시간,10-30분,바로 집에 가요!,집,좋음,나쁨,X,X
